Thetas Estimation;Log Var Thetas Estimation
0.16476418;-1.8474116
-1.2113439;-1.3867586
0.3284045;-1.8977191
-0.8782551;-1.9484844
1.4053198;-1.3730705
0.788379;-1.8448648
1.3404009;-1.4098961
0.4907828;-1.7473618
-1.5719465;-1.938071
-1.8013918;-1.8850474
-1.3055465;-1.9653795
0.1215757;-1.9606042
0.8136181;-1.8594592
0.75578815;-1.667947
-1.8266388;-1.9967117
0.90023607;-1.3637099
-1.0401114;-1.7588105
-0.526733;-1.8662946
0.3971451;-1.7091031
0.7308834;-1.4457402
-1.5933189;-2.0131269
-0.9699714;-1.5754111
1.4923196;-1.6029904
-1.1958058;-2.0008254
0.53902495;-1.5472515
1.1773369;-1.2590706
0.33536202;-2.1846747
-1.5987722;-2.277271
1.1186125;-1.3050663
1.2219188;-1.8443432
-0.9811124;-1.7834584
-1.6139083;-1.6197928
-1.0246698;-2.0546467
0.88313264;-1.6033759
0.4475438;-1.9168985
-1.4427663;-1.7507534
0.23341097;-1.8235686
0.4288985;-1.8165188
-1.0142946;-1.649046
0.027061239;-1.9823844
-1.4178734;-1.9072983
-1.7128333;-1.979497
0.5975303;-1.4900081
-1.6882359;-1.8419824
0.7947051;-1.9620202
1.0792501;-1.6227424
0.076418325;-1.7575531
0.4702508;-1.7351265
0.79228467;-1.720159
-1.5820497;-1.8220747
1.4656913;-1.4667203
-1.0845197;-1.8106924
-0.7539504;-1.6663193
1.188381;-1.859586
-1.1990654;-1.7098042
-1.5928214;-2.0481908
0.6256704;-1.5592567
0.71268404;-1.6393857
1.3664191;-1.80527
0.37192506;-1.8827901
-1.2429818;-1.8228691
0.39668334;-1.8706279
1.339945;-1.4237354
0.11137517;-1.8850584
1.390739;-1.336023
-1.5508338;-2.041729
0.7405548;-1.5670632
0.8035268;-1.5449743
0.6039643;-1.9075406
1.409148;-1.3280551
-0.823358;-1.6554645
0.7062622;-1.7739702
0.8294223;-1.4914067
0.17952405;-1.8833618
-0.520819;-1.9240081
1.2951297;-1.8255019
1.0141543;-1.2870581
0.95564073;-1.5052223
-0.69910395;-1.6279037
-1.3220553;-1.9199779
-0.43694016;-1.8339076
0.68441737;-1.6390412
0.54176694;-1.7602003
0.4311955;-1.912965
-0.586741;-1.7507278
0.2305568;-1.8083917
0.6393032;-1.5681955
0.46252126;-1.9579277
0.5395886;-2.0050893
1.4910626;-1.6608143
-0.6590895;-1.9892082
0.42865342;-1.7486377
1.0681309;-1.6468111
1.3051969;-1.535032
1.3470393;-1.5227835
0.45671618;-2.0468025
0.7817008;-1.3832263
1.3765821;-1.5534748
0.6325784;-1.5461895
0.84884053;-1.7602727
-1.1868371;-1.7274276
1.0673293;-1.6124902
1.3382276;-1.3201147
0.73823696;-1.5276821
0.8798949;-1.5077419
-1.2455157;-1.7649678
1.4305878;-1.5843337
0.758662;-1.4358873
1.0927179;-1.3158541
1.386861;-1.4136739
-0.72911215;-2.0116496
-0.75333357;-2.0269492
0.63867795;-1.3479173
-1.6360315;-1.6845622
