;CNT;CNTSTUID;DS269Q01C;DS269Q03C;CS269Q04S;CS408Q01S;DS408Q03C;CS408Q04S;CS408Q05S;CS466Q01S;CS466Q05S;CS466Q07S;DS519Q01C;CS519Q02S;DS519Q03C;CS521Q02S;CS521Q06S;CS527Q01S;CS527Q03S;CS527Q04S
34;Brazil;7620956.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;-1.0;0.0;0.0;-1.0;1.0;1.0;0.0;0.0;0.0
35;Brazil;7602050.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0
36;Brazil;7604146.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-1.0;-1.0;-1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;-1.0
37;Brazil;7618768.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
38;Brazil;7628225.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;-1.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0
39;Brazil;7610464.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0
40;Brazil;7623497.0;0.0;-1.0;0.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0
41;Brazil;7618128.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
42;Brazil;7629013.0;0.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;-1.0;0.0;1.0;0.0;0.0;0.0
43;Brazil;7629270.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;-1.0;0.0;1.0;0.0;1.0;-1.0
44;Brazil;7601908.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;-1.0;-1.0;-1.0;1.0;0.0;0.0;0.0;1.0;0.0;-1.0;-1.0
45;Brazil;7610883.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
46;Brazil;7604802.0;1.0;-1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0
47;Brazil;7614190.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;-1.0;1.0;1.0;0.0;0.0;0.0
48;Brazil;7605290.0;0.0;-1.0;0.0;1.0;-1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0
49;Brazil;7627296.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
50;Brazil;7602803.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0;-1.0;1.0;-1.0;1.0;0.0;0.0;0.0;1.0
51;Brazil;7603090.0;-1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;-1.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
52;Brazil;7614596.0;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;-1.0;1.0;-1.0;0.0;0.0;0.0;1.0;1.0
53;Brazil;7607169.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;1.0
54;Brazil;7615733.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
55;Brazil;7621648.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0
56;Brazil;7611165.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;0.0;1.0;0.0;1.0;0.0
57;Brazil;7613752.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;-1.0;1.0;0.0;0.0;0.0;0.0
58;Brazil;7618554.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;-1.0;0.0;0.0;0.0;0.0;0.0
59;Brazil;7617303.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;-1.0;-1.0;-1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;-1.0
60;Brazil;7629805.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;1.0;0.0;0.0;1.0
61;Brazil;7603690.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
62;Brazil;7612681.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
63;Brazil;7617929.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;-1.0;1.0;0.0;0.0;1.0;0.0
64;Brazil;7614852.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;-1.0;-1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
65;Brazil;7626950.0;-1.0;-1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;1.0;0.0
66;Brazil;7608875.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;0.0;1.0;0.0;0.0;0.0
67;Brazil;7627806.0;1.0;-1.0;0.0;0.0;-1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0
