Thetas Estimation;Log Var Thetas Estimation
0.15744054;-1.7608242
-1.1764194;-1.9090006
0.19003662;-2.024756
-0.3772992;-2.0657284
1.448743;-1.2612275
1.1895986;-1.4564638
1.3856901;-1.3250506
0.07816887;-1.8804395
-1.5850662;-2.0309756
-1.7027744;-1.9378211
-1.2395734;-2.193095
0.2900521;-1.8328507
1.0697845;-1.629894
0.3071489;-1.9747488
-1.6250236;-2.11686
1.3052039;-1.4592972
-1.2689399;-2.0300016
-0.6183491;-1.8823955
0.22386217;-1.919421
0.41999885;-1.6014631
-1.1100186;-1.9295268
-0.90056086;-1.8597538
1.3412697;-1.463151
-1.2437955;-2.2871735
0.31865284;-1.9829981
1.4486151;-1.305598
0.21037343;-1.9883494
-1.5371583;-2.207443
1.4525146;-1.2216887
1.4695086;-1.8075407
-1.1978707;-2.2026896
-1.7341741;-1.8586507
-0.7847495;-2.2238667
0.92586935;-1.6477361
0.062390596;-2.1281068
-1.5214318;-2.0411534
0.11835855;-1.8455181
0.5166732;-1.6879869
-1.1762134;-1.9387693
0.22306946;-1.7661531
-1.5689039;-2.0914245
-1.5303721;-2.2622895
0.49549595;-1.5332086
-1.5250167;-1.9739587
1.1320632;-1.5849011
1.1014093;-1.4220407
0.13381505;-1.7916224
0.45575663;-1.669025
0.30251482;-1.9266584
-1.4957359;-2.2018135
1.3793249;-1.3044145
-1.1976376;-2.2606971
-1.2039583;-2.1970937
1.3638666;-1.6106908
-1.1023382;-2.132778
-1.5256313;-2.3994734
0.35163388;-1.9367917
0.39014485;-1.7618594
1.3573745;-1.6629307
0.19478431;-1.8212347
-1.1289549;-2.1723814
0.39848033;-1.6210814
1.422366;-1.2118902
0.0610331;-1.8061922
1.4430553;-1.2294065
-1.3827937;-2.1534698
0.47031596;-1.6122303
0.41803983;-1.7778525
0.30496135;-2.0340796
1.4134909;-1.3825262
-1.1608706;-1.9621935
1.4201349;-1.4910879
0.45367405;-1.6272962
0.15648085;-1.8015635
-0.70442;-2.1478553
1.5198051;-1.5553687
1.4627131;-1.2988808
1.1171141;-1.4130006
-0.4710396;-2.084644
-1.1209779;-1.8688209
-0.6395767;-2.1258514
0.43781713;-1.9338872
0.27325758;-1.9288418
0.35659692;-1.7824678
-0.39659947;-2.1077638
0.015888274;-2.1267645
0.27668938;-2.036482
0.43853918;-1.857919
0.32485798;-1.8406773
1.3738651;-1.7260509
-0.44475865;-1.8947284
0.106238544;-2.0063326
1.0523125;-1.7897849
1.3541437;-1.5771196
1.3730667;-1.561698
0.36304882;-1.713429
0.38640073;-1.6099713
1.4501996;-1.6124158
0.5553123;-1.6895685
0.48707077;-1.9404948
-1.0622371;-2.3102794
1.0020752;-1.5837352
1.3628473;-1.4873796
0.6043625;-1.8632302
0.88858116;-1.8259842
-1.0533793;-2.2481077
1.3594286;-1.7990131
0.39880893;-1.4951727
1.5630553;-1.2502909
1.453597;-1.2043717
-0.6075772;-1.9247267
-0.5060445;-2.1908345
0.2890906;-1.7877162
-1.6201817;-1.8792834
-1.523843;-2.0428972
1.0458114;-1.6148973
-0.45396128;-2.0650923
1.4392408;-1.3411483
1.4561387;-1.2661908
0.26566276;-2.0196114
0.4766294;-1.7019265
1.4622875;-1.4413147
